Rank,Type,Model,Average,IFEval,BBH,MATH,GPQA,MUSR,MNLU-Pro,Architecture,Precision,Parameters,License,CO2cost,Hub_likes,Upload date,Submission date,Generation,Base model,Chat Template,Hub Availability,Official Providers,Mixture of Experts,Flag Status
3092,pretrained,google/gemma-2-2b,10.13,0.2,0.37,0.03,0.26,0.42,0.22,,bfloat16,2.614B,gemma,1.52 kg,492,2024-07-16,2024-07-31,0,google/gemma-2-2b,Yes,Yes,Yes,No,No
3100,chat,ibm-granite/granite-3.1-1b-a400m-instruct,10.05,0.47,0.33,0.04,0.24,0.33,0.12,,float16,1.335B,apache-2.0,1.05 kg,13,2024-12-06,2024-12-16,1,ibm-granite/granite-3.1-1b-a400m-instruct (Merge),Yes,Yes,Yes,No,No
3106,pretrained,ibm-granite/granite-3.1-3b-a800m-base,9.91,0.3,0.36,0.04,0.28,0.33,0.18,,bfloat16,3.299B,apache-2.0,1.62 kg,5,2024-12-06,2024-12-16,0,ibm-granite/granite-3.1-3b-a800m-base,No,Yes,Yes,No,No
3110,pretrained,tiiuae/Falcon3-1B-Base,9.84,0.24,0.36,0.03,0.28,0.41,0.16,,bfloat16,1.669B,other,0.40 kg,20,2024-12-13,2024-12-16,0,tiiuae/Falcon3-1B-Base,No,Yes,Yes,No,No
3112,chat,cognitivecomputations/dolphin-2.9.4-gemma2-2b,9.8,0.09,0.41,0.05,0.28,0.42,0.21,,bfloat16,2.614B,gemma,1.51 kg,36,2024-08-24,2024-08-25,1,google/gemma-2-2b,Yes,Yes,Yes,No,No
3123,pretrained,HuggingFaceTB/SmolLM2-1.7B,9.5,0.24,0.35,0.02,0.28,0.35,0.21,,bfloat16,1.71B,apache-2.0,0.33 kg,91,2024-10-30,2024-11-06,0,HuggingFaceTB/SmolLM2-1.7B,No,Yes,Yes,No,No
3124,fine-tuned,teknium/OpenHermes-7B,9.48,0.18,0.36,0.01,0.27,0.43,0.19,,float16,7B,mit,2.48 kg,13,2023-09-14,2024-06-12,1,NousResearch/Llama-2-7b-hf,No,Yes,Yes,No,No
3128,pretrained,ibm-granite/granite-3.0-3b-a800m-base,9.43,0.27,0.37,0.04,0.25,0.34,0.19,,bfloat16,3.374B,apache-2.0,3.54 kg,5,2024-10-03,-,0,ibm-granite/granite-3.0-3b-a800m-base,No,Yes,Yes,No,No
3129,pretrained,google/flan-t5-large,9.42,0.22,0.42,0.0,0.25,0.41,0.17,,float16,0.783B,apache-2.0,0.23 kg,679,2022-10-21,2024-08-14,0,google/flan-t5-large,No,Yes,Yes,No,No
3132,fine-tuned,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,9.4,0.38,0.32,0.0,0.26,0.32,0.21,,bfloat16,8.03B,mit,0.74 kg,454,2025-01-20,2025-01-20,0,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Yes,Yes,Yes,No,No
3133,pretrained,meta-llama/Llama-2-7b-chat-hf,9.4,0.4,0.31,0.01,0.25,0.37,0.17,,float16,6.738B,llama2,1.16 kg,4198,2023-07-13,2024-08-30,0,meta-llama/Llama-2-7b-chat-hf,Yes,Yes,Yes,No,No
3138,fine-tuned,NousResearch/Nous-Hermes-llama-2-7b,9.29,0.17,0.38,0.01,0.26,0.43,0.19,,bfloat16,6.738B,mit,2.56 kg,68,2023-07-25,2024-06-12,0,NousResearch/Nous-Hermes-llama-2-7b,No,Yes,Yes,No,No
3140,chat,stabilityai/stablelm-2-zephyr-1_6b,9.28,0.33,0.34,0.02,0.24,0.35,0.17,,float16,1.645B,other,0.47 kg,183,2024-01-19,2024-06-12,0,stabilityai/stablelm-2-zephyr-1_6b,Yes,Yes,Yes,No,No
3142,pretrained,kyutai/helium-1-preview-2b,9.25,0.26,0.36,0.01,0.28,0.35,0.19,,bfloat16,2.173B,cc-by-4.0,0.34 kg,132,2025-01-13,2025-01-14,0,kyutai/helium-1-preview-2b,No,Yes,Yes,No,No
3145,pretrained,Qwen/Qwen1.5-1.8B,9.18,0.22,0.35,0.03,0.31,0.36,0.19,,bfloat16,1.837B,other,0.95 kg,46,2024-01-22,2024-06-13,0,Qwen/Qwen1.5-1.8B,No,Yes,Yes,No,No
3146,pretrained,ai21labs/Jamba-v0.1,9.14,0.2,0.36,0.01,0.27,0.36,0.25,,bfloat16,51.57B,apache-2.0,10.11 kg,1178,2024-03-28,2024-09-16,0,ai21labs/Jamba-v0.1,Yes,Yes,Yes,Yes,No
3151,chat,Qwen/Qwen1.5-1.8B-Chat,9.01,0.2,0.33,0.0,0.3,0.43,0.18,,bfloat16,1.837B,other,0.56 kg,48,2024-01-30,2024-06-12,0,Qwen/Qwen1.5-1.8B-Chat,Yes,Yes,Yes,No,No
3152,fine-tuned,nvidia/OpenMath2-Llama3.1-8B,8.99,0.23,0.41,0.04,0.27,0.34,0.16,,float16,8.03B,llama3.1,1.63 kg,26,2024-09-30,2024-12-07,1,nvidia/OpenMath2-Llama3.1-8B (Merge),No,Yes,Yes,No,No
3163,fine-tuned,TencentARC/LLaMA-Pro-8B,8.78,0.23,0.35,0.02,0.26,0.4,0.18,,bfloat16,8.357B,llama2,47.81 kg,170,2024-01-05,2024-06-12,0,TencentARC/LLaMA-Pro-8B,No,Yes,Yes,No,No
3167,pretrained,meta-llama/Llama-2-7b-hf,8.73,0.25,0.35,0.01,0.27,0.37,0.19,,float16,6.738B,llama2,0.56 kg,1925,2023-07-13,2024-06-12,0,meta-llama/Llama-2-7b-hf,No,Yes,Yes,No,No
3174,chat,stabilityai/stablelm-2-1_6b-chat,8.64,0.31,0.34,0.01,0.25,0.36,0.16,,bfloat16,1.645B,other,0.50 kg,32,2024-04-08,2024-06-12,0,stabilityai/stablelm-2-1_6b-chat,Yes,Yes,Yes,No,No
3177,pretrained,internlm/internlm2-1_8b,8.6,0.22,0.39,0.01,0.25,0.38,0.16,,bfloat16,8B,other,0.66 kg,30,2024-01-30,2024-06-12,0,internlm/internlm2-1_8b,No,Yes,Yes,No,No
3178,pretrained,meta-llama/Llama-3.2-3B,8.58,0.13,0.39,0.01,0.27,0.36,0.25,,bfloat16,3.213B,llama3.2,1.33 kg,487,2024-09-18,2024-09-27,0,meta-llama/Llama-3.2-3B,No,Yes,Yes,No,No
3186,pretrained,NousResearch/Yarn-Llama-2-13b-128k,8.42,0.17,0.38,0.01,0.26,0.35,0.23,,bfloat16,13B,-,51.94 kg,113,2023-08-30,2024-06-13,0,NousResearch/Yarn-Llama-2-13b-128k,No,Yes,Yes,No,No
3190,chat,Qwen/Qwen2.5-0.5B-Instruct,8.38,0.32,0.33,0.0,0.26,0.33,0.17,,float16,0.494B,apache-2.0,0.62 kg,203,2024-09-16,2024-10-16,1,Qwen/Qwen2.5-0.5B,Yes,Yes,Yes,No,No
3197,fine-tuned,Nexusflow/NexusRaven-V2-13B,8.31,0.18,0.39,0.02,0.26,0.37,0.19,,bfloat16,13B,other,1.09 kg,466,2023-12-04,2024-06-12,1,codellama/CodeLlama-13b-Instruct-hf,No,Yes,Yes,No,No
3198,fine-tuned,lmsys/vicuna-7b-v1.3,8.31,0.29,0.33,0.0,0.24,0.38,0.18,,float16,7B,-,0.56 kg,129,2023-06-18,2024-06-28,0,lmsys/vicuna-7b-v1.3,Yes,Yes,Yes,No,No
3201,pretrained,bigcode/starcoder2-7b,8.26,0.22,0.37,0.03,0.25,0.38,0.16,,bfloat16,7.174B,bigcode-openrail-m,0.51 kg,168,2024-02-20,2024-06-09,0,bigcode/starcoder2-7b,No,Yes,Yes,No,No
3207,fine-tuned,togethercomputer/Llama-2-7B-32K-Instruct,8.21,0.21,0.34,0.01,0.25,0.41,0.18,,float16,7B,llama2,0.59 kg,159,2023-08-08,2024-06-12,0,togethercomputer/Llama-2-7B-32K-Instruct,No,Yes,Yes,No,No
3209,chat,Qwen/Qwen2.5-0.5B-Instruct,8.14,0.31,0.33,0.0,0.26,0.33,0.17,,bfloat16,0.5B,apache-2.0,0.63 kg,203,2024-09-16,2024-09-19,1,Qwen/Qwen2.5-0.5B,Yes,Yes,Yes,No,No
3210,pretrained,deepseek-ai/deepseek-llm-7b-base,8.14,0.22,0.35,0.01,0.27,0.37,0.18,,bfloat16,7B,other,0.82 kg,74,2023-11-29,2024-06-12,0,deepseek-ai/deepseek-llm-7b-base,No,Yes,Yes,No,No
3215,chat,ibm-granite/granite-3.0-1b-a400m-instruct,8.02,0.33,0.32,0.02,0.26,0.36,0.12,,bfloat16,1.335B,apache-2.0,2.18 kg,19,2024-10-03,-,1,ibm-granite/granite-3.0-1b-a400m-instruct (Merge),Yes,Yes,Yes,No,No
3218,chat,HuggingFaceTB/SmolLM2-360M-Instruct,8.0,0.38,0.31,0.01,0.26,0.35,0.11,,bfloat16,0.36B,apache-2.0,0.38 kg,81,2024-10-31,2024-11-06,0,HuggingFaceTB/SmolLM2-360M-Instruct,Yes,Yes,Yes,No,No
3223,chat,google/recurrentgemma-2b-it,7.95,0.29,0.33,0.02,0.25,0.33,0.14,,bfloat16,2.683B,gemma,1.93 kg,109,2024-04-08,2024-06-12,0,google/recurrentgemma-2b-it,Yes,Yes,Yes,No,No
3227,pretrained,nvidia/Hymba-1.5B-Base,7.92,0.23,0.33,0.01,0.26,0.36,0.19,,bfloat16,1.523B,other,9.11 kg,138,2024-10-09,2024-12-06,0,nvidia/Hymba-1.5B-Base,No,Yes,Yes,No,No
3233,chat,google/gemma-1.1-2b-it,7.78,0.31,0.32,0.0,0.27,0.34,0.15,,bfloat16,2.506B,gemma,0.33 kg,154,2024-03-26,2024-06-12,0,google/gemma-1.1-2b-it,Yes,Yes,Yes,No,No
3235,pretrained,ibm-granite/granite-7b-base,7.76,0.24,0.35,0.01,0.25,0.36,0.18,,bfloat16,6.738B,apache-2.0,0.65 kg,27,2024-04-19,2024-06-12,0,ibm-granite/granite-7b-base,No,Yes,Yes,No,No
3252,chat,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,7.53,0.35,0.32,0.0,0.26,0.36,0.12,,bfloat16,1.777B,mit,0.62 kg,703,2025-01-20,2025-01-20,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Yes,Yes,Yes,No,No
3262,pretrained,deepseek-ai/deepseek-moe-16b-base,7.39,0.24,0.34,0.02,0.25,0.37,0.15,,bfloat16,16.376B,other,7.00 kg,97,2024-01-08,2024-06-12,0,deepseek-ai/deepseek-moe-16b-base,No,Yes,Yes,Yes,No
3263,pretrained,google/gemma-2b,7.36,0.2,0.34,0.03,0.26,0.4,0.14,,bfloat16,2.506B,gemma,1.24 kg,961,2024-02-08,2024-06-12,0,google/gemma-2b,No,Yes,Yes,No,No
3270,pretrained,Qwen/Qwen2-0.5B,7.29,0.19,0.32,0.03,0.26,0.38,0.17,,bfloat16,0.494B,apache-2.0,1.80 kg,127,2024-05-31,2024-11-30,0,Qwen/Qwen2-0.5B,No,Yes,Yes,No,No
3277,pretrained,stabilityai/stablelm-3b-4e1t,7.26,0.22,0.35,0.01,0.24,0.38,0.17,,bfloat16,2.795B,cc-by-sa-4.0,0.43 kg,310,2023-09-29,2024-08-10,0,stabilityai/stablelm-3b-4e1t,No,Yes,Yes,No,No
3288,chat,google/gemma-2b-it,7.22,0.27,0.32,0.0,0.28,0.33,0.14,,bfloat16,2.506B,gemma,0.35 kg,703,2024-02-08,2024-06-12,0,google/gemma-2b-it,Yes,Yes,Yes,No,No
3298,pretrained,allenai/OLMoE-1B-7B-0924,7.18,0.22,0.34,0.01,0.25,0.35,0.17,,bfloat16,6.919B,apache-2.0,3.08 kg,109,2024-07-20,2024-09-30,0,allenai/OLMoE-1B-7B-0924,No,Yes,Yes,Yes,No
3310,pretrained,NousResearch/Yarn-Llama-2-7b-64k,7.13,0.17,0.33,0.01,0.26,0.39,0.18,,bfloat16,7B,-,0.83 kg,23,2023-08-30,2024-06-13,0,NousResearch/Yarn-Llama-2-7b-64k,No,Yes,Yes,No,No
3326,pretrained,microsoft/phi-1_5,7.06,0.2,0.34,0.01,0.27,0.34,0.17,,float16,1.418B,mit,0.34 kg,1323,2023-09-10,2024-06-09,0,microsoft/phi-1_5,No,Yes,Yes,No,No
3337,pretrained,google/codegemma-1.1-2b,7.03,0.23,0.34,0.01,0.27,0.39,0.13,,bfloat16,2.506B,gemma,0.95 kg,17,2024-04-30,2024-08-12,0,google/codegemma-1.1-2b,No,Yes,Yes,No,No
3365,fine-tuned,cognitivecomputations/dolphin-2.9.4-llama3.1-8b,6.96,0.28,0.35,0.0,0.26,0.32,0.12,,bfloat16,8.03B,llama3.1,1.76 kg,93,2024-08-04,2024-09-17,1,meta-llama/Meta-Llama-3.1-8B,Yes,Yes,Yes,No,No
3368,pretrained,google/recurrentgemma-2b,6.95,0.3,0.32,0.02,0.25,0.34,0.12,,bfloat16,2.683B,gemma,3.69 kg,91,2024-04-06,2024-06-13,0,google/recurrentgemma-2b,No,Yes,Yes,No,No
3374,pretrained,databricks/dolly-v1-6b,6.92,0.22,0.32,0.02,0.26,0.4,0.13,,bfloat16,6B,cc-by-nc-4.0,0.66 kg,310,2023-03-23,2024-06-12,0,databricks/dolly-v1-6b,No,Yes,Yes,No,No
3395,pretrained,HuggingFaceTB/SmolLM-135M,6.84,0.21,0.3,0.01,0.26,0.44,0.11,,bfloat16,0.13B,apache-2.0,0.34 kg,191,2024-07-14,2024-07-18,0,HuggingFaceTB/SmolLM-135M,No,Yes,Yes,No,No
3397,fine-tuned,togethercomputer/GPT-JT-6B-v1,6.83,0.21,0.33,0.01,0.26,0.37,0.16,,float16,6B,apache-2.0,37.96 kg,300,2022-11-24,2024-06-12,0,togethercomputer/GPT-JT-6B-v1,No,Yes,Yes,No,No
3408,pretrained,allenai/OLMo-7B-hf,6.78,0.27,0.33,0.01,0.27,0.35,0.12,,bfloat16,6.888B,apache-2.0,0.59 kg,14,2024-04-12,2024-06-27,0,allenai/OLMo-7B-hf,No,Yes,Yes,No,No
3417,fine-tuned,togethercomputer/LLaMA-2-7B-32K,6.74,0.19,0.34,0.01,0.25,0.38,0.18,,float16,7B,llama2,0.58 kg,538,2023-07-26,2024-06-12,0,togethercomputer/LLaMA-2-7B-32K,No,Yes,Yes,No,No
3423,pretrained,NousResearch/Yarn-Llama-2-7b-128k,6.7,0.15,0.32,0.01,0.26,0.4,0.18,,bfloat16,7B,-,0.84 kg,39,2023-08-31,2024-06-13,0,NousResearch/Yarn-Llama-2-7b-128k,No,Yes,Yes,No,No
3431,pretrained,EleutherAI/gpt-j-6b,6.56,0.25,0.32,0.01,0.25,0.37,0.12,,bfloat16,6B,apache-2.0,0.77 kg,1477,2022-03-02,2024-08-19,0,EleutherAI/gpt-j-6b,No,Yes,Yes,No,No
3433,pretrained,bigcode/starcoder2-3b,6.54,0.2,0.35,0.01,0.24,0.34,0.16,,bfloat16,3.03B,bigcode-openrail-m,0.45 kg,161,2023-11-29,2024-06-09,0,bigcode/starcoder2-3b,No,Yes,Yes,No,No
3438,pretrained,openai-community/gpt2,6.51,0.18,0.3,0.0,0.26,0.45,0.12,,bfloat16,0.137B,mit,0.09 kg,2550,2022-03-02,2024-06-12,0,openai-community/gpt2,No,Yes,Yes,No,No
3442,pretrained,allenai/OLMo-1B-hf,6.47,0.22,0.31,0.01,0.26,0.41,0.12,,bfloat16,1.177B,apache-2.0,0.25 kg,21,2024-04-12,2024-06-12,0,allenai/OLMo-1B-hf,No,Yes,Yes,No,No
3443,chat,HuggingFaceTB/SmolLM2-135M-Instruct,6.47,0.29,0.31,0.0,0.24,0.37,0.11,,bfloat16,0.135B,apache-2.0,0.34 kg,99,2024-10-31,2024-11-06,1,HuggingFaceTB/SmolLM2-135M-Instruct (Merge),Yes,Yes,Yes,No,No
3447,chat,Qwen/Qwen2-0.5B-Instruct,6.41,0.22,0.32,0.02,0.25,0.34,0.15,,bfloat16,0.494B,apache-2.0,0.56 kg,174,2024-06-03,2024-06-12,1,Qwen/Qwen2-0.5B,Yes,Yes,Yes,No,No
3453,pretrained,gpt2,6.39,0.19,0.3,0.0,0.26,0.43,0.11,,bfloat16,0.137B,mit,0.32 kg,2550,2022-03-02,2024-06-26,0,gpt2,No,Yes,Yes,No,No
3456,fine-tuned,databricks/dolly-v2-12b,6.38,0.24,0.33,0.01,0.24,0.37,0.11,,bfloat16,12B,mit,1.40 kg,1954,2023-04-11,2024-06-12,0,databricks/dolly-v2-12b,No,Yes,Yes,No,No
3460,fine-tuned,togethercomputer/RedPajama-INCITE-7B-Instruct,6.36,0.21,0.34,0.02,0.25,0.37,0.13,,float16,7B,apache-2.0,1.18 kg,103,2023-05-05,2024-06-12,0,togethercomputer/RedPajama-INCITE-7B-Instruct,No,Yes,Yes,No,No
3461,pretrained,EleutherAI/gpt-neo-2.7B,6.36,0.26,0.31,0.01,0.27,0.36,0.12,,bfloat16,2.718B,mit,0.51 kg,466,2022-03-02,2024-06-12,0,EleutherAI/gpt-neo-2.7B,No,Yes,Yes,No,No
3466,pretrained,Qwen/Qwen2.5-0.5B,6.31,0.16,0.33,0.02,0.25,0.34,0.19,,bfloat16,0.5B,apache-2.0,1.17 kg,180,2024-09-15,2024-09-19,0,Qwen/Qwen2.5-0.5B,No,Yes,Yes,No,No
3467,pretrained,openai-community/gpt2,6.3,0.18,0.3,0.0,0.26,0.44,0.12,,float16,0.137B,mit,0.12 kg,2550,2022-03-02,2024-08-12,0,openai-community/gpt2,No,Yes,Yes,No,No
3472,pretrained,google/flan-t5-base,6.24,0.19,0.35,0.0,0.24,0.37,0.14,,float16,0.248B,apache-2.0,0.16 kg,836,2022-10-21,2024-08-14,0,google/flan-t5-base,No,Yes,Yes,No,No
3473,pretrained,ibm-granite/granite-3.1-1b-a400m-base,6.22,0.25,0.33,0.02,0.25,0.35,0.11,,bfloat16,1.335B,apache-2.0,1.12 kg,5,2024-12-06,2024-12-16,0,ibm-granite/granite-3.1-1b-a400m-base,No,Yes,Yes,No,No
3475,pretrained,facebook/opt-30b,6.2,0.25,0.31,0.01,0.27,0.36,0.12,,float16,30B,other,3.00 kg,133,2022-05-11,2024-06-12,0,facebook/opt-30b,No,Yes,Yes,No,No
3478,pretrained,HuggingFaceTB/SmolLM-360M,6.15,0.21,0.31,0.0,0.27,0.4,0.11,,bfloat16,0.36B,apache-2.0,0.37 kg,62,2024-07-14,2024-07-18,0,HuggingFaceTB/SmolLM-360M,No,Yes,Yes,No,No
3481,pretrained,HuggingFaceTB/SmolLM2-360M,6.1,0.21,0.32,0.0,0.25,0.4,0.12,,bfloat16,0.36B,apache-2.0,0.39 kg,29,2024-10-31,2024-11-06,0,HuggingFaceTB/SmolLM2-360M,No,Yes,Yes,No,No
3485,pretrained,google/flan-t5-small,6.0,0.15,0.33,0.0,0.26,0.41,0.12,,float16,0.077B,apache-2.0,0.14 kg,309,2022-10-21,2024-06-27,0,google/flan-t5-small,No,Yes,Yes,No,No
3486,pretrained,EleutherAI/gpt-neox-20b,6.0,0.26,0.32,0.01,0.24,0.36,0.12,,float16,20.739B,apache-2.0,3.15 kg,555,2022-04-07,2024-06-09,0,EleutherAI/gpt-neox-20b,No,Yes,Yes,No,No
3489,pretrained,mosaicml/mpt-7b,5.99,0.22,0.33,0.01,0.26,0.37,0.12,,bfloat16,7B,apache-2.0,0.64 kg,1163,2023-05-05,2024-06-08,0,mosaicml/mpt-7b,No,Yes,Yes,No,No
3491,pretrained,gpt2,5.98,0.08,0.31,0.0,0.23,0.43,0.1,,float16,0.137B,mit,0.04 kg,2550,2022-03-02,2024-06-26,0,gpt2,No,Yes,Yes,No,No
3496,pretrained,EleutherAI/pythia-12b,5.93,0.25,0.32,0.01,0.25,0.36,0.11,,float16,12B,apache-2.0,1.12 kg,133,2023-02-28,2024-06-12,0,EleutherAI/pythia-12b,No,Yes,Yes,No,No
3497,pretrained,ibm-granite/granite-3.0-1b-a400m-base,5.92,0.24,0.32,0.02,0.25,0.34,0.12,,bfloat16,1.335B,apache-2.0,2.48 kg,6,2024-10-03,-,0,ibm-granite/granite-3.0-1b-a400m-base,No,Yes,Yes,No,No
3499,pretrained,EleutherAI/pythia-1.4b,5.88,0.24,0.32,0.01,0.26,0.35,0.11,,float16,1.515B,apache-2.0,0.19 kg,22,2023-02-09,2025-01-28,0,EleutherAI/pythia-1.4b,No,Yes,Yes,No,No
3501,pretrained,EleutherAI/pythia-6.9b,5.87,0.23,0.32,0.01,0.25,0.36,0.11,,float16,6.9B,apache-2.0,0.87 kg,50,2023-02-14,2024-06-12,0,EleutherAI/pythia-6.9b,No,Yes,Yes,No,No
3507,pretrained,openai-community/gpt2-medium,5.83,0.22,0.31,0.0,0.26,0.39,0.12,,bfloat16,0.38B,mit,0.12 kg,166,2022-03-02,2024-06-12,0,openai-community/gpt2-medium,No,Yes,Yes,No,No
3521,fine-tuned,togethercomputer/RedPajama-INCITE-Instruct-3B-v1,5.68,0.21,0.31,0.01,0.25,0.39,0.11,,float16,3B,apache-2.0,0.76 kg,93,2023-05-05,2024-06-12,0,togethercomputer/RedPajama-INCITE-Instruct-3B-v1,No,Yes,Yes,No,No
3527,pretrained,EleutherAI/pythia-160m,5.62,0.18,0.3,0.0,0.26,0.42,0.11,,float16,0.213B,apache-2.0,0.24 kg,30,2023-02-08,2024-06-09,0,EleutherAI/pythia-160m,No,Yes,Yes,No,No
3531,fine-tuned,databricks/dolly-v2-7b,5.57,0.2,0.32,0.01,0.27,0.36,0.11,,bfloat16,7B,mit,0.83 kg,148,2023-04-13,2024-06-12,0,databricks/dolly-v2-7b,No,Yes,Yes,No,No
3532,chat,Qwen/Qwen1.5-0.5B-Chat,5.56,0.18,0.32,0.0,0.27,0.38,0.12,,bfloat16,0.62B,other,0.55 kg,76,2024-01-31,2024-06-12,0,Qwen/Qwen1.5-0.5B-Chat,Yes,Yes,Yes,No,No
3533,pretrained,HuggingFaceTB/SmolLM2-135M,5.56,0.18,0.3,0.0,0.25,0.41,0.11,,bfloat16,0.135B,apache-2.0,0.33 kg,55,2024-10-31,2024-11-06,0,HuggingFaceTB/SmolLM2-135M,No,Yes,Yes,No,No
3536,pretrained,microsoft/phi-1,5.52,0.21,0.31,0.01,0.27,0.35,0.12,,bfloat16,1.418B,mit,0.29 kg,210,2023-09-10,2024-06-13,0,microsoft/phi-1,No,Yes,Yes,No,No
3540,pretrained,togethercomputer/RedPajama-INCITE-7B-Base,5.49,0.21,0.32,0.01,0.26,0.36,0.12,,float16,7B,apache-2.0,1.22 kg,93,2023-05-04,2024-06-12,0,togethercomputer/RedPajama-INCITE-7B-Base,No,Yes,Yes,No,No
3542,pretrained,openai-community/gpt2-large,5.48,0.2,0.31,0.01,0.26,0.38,0.11,,bfloat16,0.812B,mit,0.18 kg,283,2022-03-02,2024-06-12,0,openai-community/gpt2-large,No,Yes,Yes,No,No
3546,fine-tuned,databricks/dolly-v2-3b,5.46,0.22,0.31,0.01,0.26,0.33,0.11,,bfloat16,3B,mit,0.76 kg,287,2023-04-13,2024-06-12,0,databricks/dolly-v2-3b,No,Yes,Yes,No,No
3548,pretrained,EleutherAI/pythia-2.8b,5.45,0.22,0.32,0.01,0.25,0.35,0.11,,float16,2.909B,apache-2.0,0.75 kg,29,2023-02-13,2024-06-12,0,EleutherAI/pythia-2.8b,No,Yes,Yes,No,No
3549,pretrained,togethercomputer/RedPajama-INCITE-Base-3B-v1,5.45,0.23,0.31,0.01,0.24,0.37,0.11,,float16,3B,apache-2.0,0.78 kg,90,2023-05-04,2024-06-12,0,togethercomputer/RedPajama-INCITE-Base-3B-v1,No,Yes,Yes,No,No
3552,pretrained,HuggingFaceTB/SmolLM-1.7B,5.43,0.24,0.32,0.01,0.24,0.34,0.11,,bfloat16,1.71B,apache-2.0,0.32 kg,168,2024-07-14,2024-07-18,0,HuggingFaceTB/SmolLM-1.7B,No,Yes,Yes,No,No
3554,fine-tuned,PygmalionAI/pygmalion-6b,5.39,0.21,0.32,0.01,0.25,0.37,0.12,,float16,6B,creativeml-openrail-m,31.92 kg,739,2023-01-07,2024-06-12,0,PygmalionAI/pygmalion-6b,No,Yes,Yes,No,No
3557,pretrained,EleutherAI/gpt-neo-1.3B,5.34,0.21,0.3,0.01,0.26,0.38,0.12,,bfloat16,1.366B,mit,0.36 kg,277,2022-03-02,2024-06-12,0,EleutherAI/gpt-neo-1.3B,No,Yes,Yes,No,No
3561,pretrained,facebook/opt-1.3b,5.25,0.24,0.31,0.01,0.24,0.34,0.11,,float16,1.3B,other,0.40 kg,162,2022-05-11,2024-06-12,0,facebook/opt-1.3b,No,Yes,Yes,No,No
3562,chat,microsoft/DialoGPT-medium,5.25,0.15,0.3,0.0,0.25,0.43,0.11,,bfloat16,0.345B,mit,0.13 kg,348,2022-03-02,2024-06-13,0,microsoft/DialoGPT-medium,Yes,Yes,Yes,No,No
3568,pretrained,stabilityai/stablelm-2-1_6b,5.22,0.12,0.34,0.0,0.25,0.39,0.15,,float16,1.645B,other,0.55 kg,188,2024-01-18,2024-06-12,0,stabilityai/stablelm-2-1_6b,No,Yes,Yes,No,No
3570,fine-tuned,google/mt5-xl,5.19,0.2,0.3,0.0,0.26,0.38,0.11,,float16,3.23B,apache-2.0,0.90 kg,23,2022-03-02,2024-09-06,0,google/mt5-xl,No,Yes,Yes,No,No
3571,pretrained,amd/AMD-Llama-135m,5.19,0.19,0.3,0.01,0.26,0.38,0.12,,bfloat16,0.134B,apache-2.0,0.53 kg,111,2024-07-19,2024-10-01,0,amd/AMD-Llama-135m,No,Yes,Yes,No,No
3575,pretrained,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,5.17,0.23,0.31,0.01,0.25,0.34,0.11,,bfloat16,1.1B,apache-2.0,0.17 kg,168,2023-12-28,2024-11-27,0,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,No,Yes,Yes,No,No
3579,chat,HuggingFaceTB/SmolLM-1.7B-Instruct,5.14,0.23,0.29,0.0,0.26,0.35,0.12,,bfloat16,1.71B,apache-2.0,0.32 kg,109,2024-07-15,2024-07-18,1,HuggingFaceTB/SmolLM-1.7B,Yes,Yes,Yes,No,No
3580,pretrained,Qwen/Qwen1.5-0.5B,5.14,0.17,0.32,0.0,0.25,0.36,0.13,,bfloat16,0.62B,other,0.98 kg,150,2024-01-22,2024-06-13,0,Qwen/Qwen1.5-0.5B,No,Yes,Yes,No,No
3583,pretrained,EleutherAI/pythia-410m,5.11,0.22,0.3,0.0,0.26,0.36,0.11,,float16,0.506B,apache-2.0,0.38 kg,22,2023-02-13,2024-06-09,0,EleutherAI/pythia-410m,No,Yes,Yes,No,No
3584,pretrained,tiiuae/falcon-7b,5.11,0.18,0.33,0.01,0.24,0.38,0.11,,bfloat16,7B,apache-2.0,0.79 kg,1082,2023-04-24,2024-06-09,0,tiiuae/falcon-7b,No,Yes,Yes,No,No
3585,fine-tuned,google/mt5-xxl,5.1,0.24,0.3,0.0,0.24,0.37,0.11,,float16,11.9B,apache-2.0,2.28 kg,68,2022-03-02,2024-09-06,0,google/mt5-xxl,No,Yes,Yes,No,No
3598,chat,tiiuae/falcon-7b-instruct,5.02,0.2,0.32,0.01,0.25,0.36,0.12,,bfloat16,7B,apache-2.0,0.77 kg,943,2023-04-25,2024-06-09,0,tiiuae/falcon-7b-instruct,No,Yes,Yes,No,No
3601,pretrained,openai-community/gpt2-xl,4.98,0.2,0.3,0.0,0.26,0.37,0.11,,bfloat16,1.608B,mit,0.22 kg,325,2022-03-02,2024-06-12,0,openai-community/gpt2-xl,No,Yes,Yes,No,No
3602,pretrained,EleutherAI/pythia-1b,4.97,0.22,0.3,0.0,0.26,0.36,0.11,,float16,1.079B,apache-2.0,0.16 kg,33,2023-03-10,2025-01-27,0,EleutherAI/pythia-1b,No,Yes,Yes,No,No
